Username,ClientId,RowId,Topic,MqttClientPermissionTypeId
minihub-c0:cf:b5:fa:b0:80,minihub-c0:cf:b5:fa:b0:80,FCF46D30-360E-4D7C-8AA1-000146BB4A8B,/+/hc/c0:cf:b5:fa:b0:80/server/+,1
minihub-c0:cf:b5:fa:b0:80,minihub-c0:cf:b5:fa:b0:80,FCF46D30-360E-4D7C-8AA1-000146BB4A8B,/+/server/hc/c0:cf:b5:fa:b0:80/+,2
minihub-c0:cf:b5:fa:b0:80,minihub-c0:cf:b5:fa:b0:80,FCF46D30-360E-4D7C-8AA1-000146BB4A8B,/+/hc/c0:cf:b5:fa:b0:80/mobile/+/+,1
minihub-c0:cf:b5:fa:b0:80,minihub-c0:cf:b5:fa:b0:80,FCF46D30-360E-4D7C-8AA1-000146BB4A8B,/+/mobile/+/hc/c0:cf:b5:fa:b0:80/+,2
minihub-4c:f8:91:30:b4:74,minihub-4c:f8:91:30:b4:74,1B450578-0063-4055-B20F-00057892E26A,/+/hc/4c:f8:91:30:b4:74/server/+,1
minihub-4c:f8:91:30:b4:74,minihub-4c:f8:91:30:b4:74,1B450578-0063-4055-B20F-00057892E26A,/+/server/hc/4c:f8:91:30:b4:74/+,2
minihub-4c:f8:91:30:b4:74,minihub-4c:f8:91:30:b4:74,1B450578-0063-4055-B20F-00057892E26A,/+/hc/4c:f8:91:30:b4:74/mobile/+/+,1
minihub-4c:f8:91:30:b4:74,minihub-4c:f8:91:30:b4:74,1B450578-0063-4055-B20F-00057892E26A,/+/mobile/+/hc/4c:f8:91:30:b4:74/+,2
minihub-8f:57:2e:d1:54:91,minihub-8f:57:2e:d1:54:91,09EC2567-E5C1-4CDB-B5E6-000FEE8A1971,/+/hc/8f:57:2e:d1:54:91/server/+,1
minihub-8f:57:2e:d1:54:91,minihub-8f:57:2e:d1:54:91,09EC2567-E5C1-4CDB-B5E6-000FEE8A1971,/+/server/hc/8f:57:2e:d1:54:91/+,2
minihub-8f:57:2e:d1:54:91,minihub-8f:57:2e:d1:54:91,09EC2567-E5C1-4CDB-B5E6-000FEE8A1971,/+/hc/8f:57:2e:d1:54:91/mobile/+/+,1
minihub-8f:57:2e:d1:54:91,minihub-8f:57:2e:d1:54:91,09EC2567-E5C1-4CDB-B5E6-000FEE8A1971,/+/mobile/+/hc/8f:57:2e:d1:54:91/+,2
minihub-e1:5e:07:17:bc:3e,minihub-e1:5e:07:17:bc:3e,97475422-CEDC-4CAE-8329-001169E031DA,/+/hc/e1:5e:07:17:bc:3e/server/+,1
minihub-e1:5e:07:17:bc:3e,minihub-e1:5e:07:17:bc:3e,97475422-CEDC-4CAE-8329-001169E031DA,/+/server/hc/e1:5e:07:17:bc:3e/+,2
minihub-e1:5e:07:17:bc:3e,minihub-e1:5e:07:17:bc:3e,97475422-CEDC-4CAE-8329-001169E031DA,/+/hc/e1:5e:07:17:bc:3e/mobile/+/+,1
minihub-e1:5e:07:17:bc:3e,minihub-e1:5e:07:17:bc:3e,97475422-CEDC-4CAE-8329-001169E031DA,/+/mobile/+/hc/e1:5e:07:17:bc:3e/+,2
minihub-c1:cc:a9:8c:2d:a5,minihub-c1:cc:a9:8c:2d:a5,3057E71B-9704-41C0-9B19-0017DC97282F,/+/hc/c1:cc:a9:8c:2d:a5/server/+,1
minihub-c1:cc:a9:8c:2d:a5,minihub-c1:cc:a9:8c:2d:a5,3057E71B-9704-41C0-9B19-0017DC97282F,/+/server/hc/c1:cc:a9:8c:2d:a5/+,2
minihub-c1:cc:a9:8c:2d:a5,minihub-c1:cc:a9:8c:2d:a5,3057E71B-9704-41C0-9B19-0017DC97282F,/+/hc/c1:cc:a9:8c:2d:a5/mobile/+/+,1
minihub-c1:cc:a9:8c:2d:a5,minihub-c1:cc:a9:8c:2d:a5,3057E71B-9704-41C0-9B19-0017DC97282F,/+/mobile/+/hc/c1:cc:a9:8c:2d:a5/+,2
minihub-bf:60:c1:37:d7:f8,minihub-bf:60:c1:37:d7:f8,AFB461D0-8C37-4C74-91EF-001D131B8342,/+/hc/bf:60:c1:37:d7:f8/server/+,1
minihub-bf:60:c1:37:d7:f8,minihub-bf:60:c1:37:d7:f8,AFB461D0-8C37-4C74-91EF-001D131B8342,/+/server/hc/bf:60:c1:37:d7:f8/+,2
minihub-bf:60:c1:37:d7:f8,minihub-bf:60:c1:37:d7:f8,AFB461D0-8C37-4C74-91EF-001D131B8342,/+/hc/bf:60:c1:37:d7:f8/mobile/+/+,1
minihub-bf:60:c1:37:d7:f8,minihub-bf:60:c1:37:d7:f8,AFB461D0-8C37-4C74-91EF-001D131B8342,/+/mobile/+/hc/bf:60:c1:37:d7:f8/+,2
minihub-a5:40:f4:48:94:95,minihub-a5:40:f4:48:94:95,846DD2CD-31EE-4A22-8021-0028985BAB62,/+/hc/a5:40:f4:48:94:95/server/+,1
minihub-a5:40:f4:48:94:95,minihub-a5:40:f4:48:94:95,846DD2CD-31EE-4A22-8021-0028985BAB62,/+/server/hc/a5:40:f4:48:94:95/+,2
minihub-a5:40:f4:48:94:95,minihub-a5:40:f4:48:94:95,846DD2CD-31EE-4A22-8021-0028985BAB62,/+/hc/a5:40:f4:48:94:95/mobile/+/+,1
minihub-a5:40:f4:48:94:95,minihub-a5:40:f4:48:94:95,846DD2CD-31EE-4A22-8021-0028985BAB62,/+/mobile/+/hc/a5:40:f4:48:94:95/+,2
minihub-7d:23:e4:5a:8d:a9,minihub-7d:23:e4:5a:8d:a9,75E2EF27-2B7A-44DF-9DD2-0029BDF6689B,/+/hc/7d:23:e4:5a:8d:a9/server/+,1
minihub-7d:23:e4:5a:8d:a9,minihub-7d:23:e4:5a:8d:a9,75E2EF27-2B7A-44DF-9DD2-0029BDF6689B,/+/server/hc/7d:23:e4:5a:8d:a9/+,2
minihub-7d:23:e4:5a:8d:a9,minihub-7d:23:e4:5a:8d:a9,75E2EF27-2B7A-44DF-9DD2-0029BDF6689B,/+/hc/7d:23:e4:5a:8d:a9/mobile/+/+,1
minihub-7d:23:e4:5a:8d:a9,minihub-7d:23:e4:5a:8d:a9,75E2EF27-2B7A-44DF-9DD2-0029BDF6689B,/+/mobile/+/hc/7d:23:e4:5a:8d:a9/+,2
minihub-1a:50:5a:be:a7:f4,minihub-1a:50:5a:be:a7:f4,9E10675B-3E62-40BC-829C-002C46DD588E,/+/hc/1a:50:5a:be:a7:f4/server/+,1
minihub-1a:50:5a:be:a7:f4,minihub-1a:50:5a:be:a7:f4,9E10675B-3E62-40BC-829C-002C46DD588E,/+/server/hc/1a:50:5a:be:a7:f4/+,2
minihub-1a:50:5a:be:a7:f4,minihub-1a:50:5a:be:a7:f4,9E10675B-3E62-40BC-829C-002C46DD588E,/+/hc/1a:50:5a:be:a7:f4/mobile/+/+,1
minihub-1a:50:5a:be:a7:f4,minihub-1a:50:5a:be:a7:f4,9E10675B-3E62-40BC-829C-002C46DD588E,/+/mobile/+/hc/1a:50:5a:be:a7:f4/+,2
minihub-88:fe:32:b2:88:b1,minihub-88:fe:32:b2:88:b1,DE86F667-63AF-4911-AA1B-00376E701E57,/+/hc/88:fe:32:b2:88:b1/server/+,1
minihub-88:fe:32:b2:88:b1,minihub-88:fe:32:b2:88:b1,DE86F667-63AF-4911-AA1B-00376E701E57,/+/server/hc/88:fe:32:b2:88:b1/+,2
minihub-88:fe:32:b2:88:b1,minihub-88:fe:32:b2:88:b1,DE86F667-63AF-4911-AA1B-00376E701E57,/+/hc/88:fe:32:b2:88:b1/mobile/+/+,1
minihub-88:fe:32:b2:88:b1,minihub-88:fe:32:b2:88:b1,DE86F667-63AF-4911-AA1B-00376E701E57,/+/mobile/+/hc/88:fe:32:b2:88:b1/+,2
minihub-d3:88:f6:d6:c2:40,minihub-d3:88:f6:d6:c2:40,AA6D998E-B538-4976-B7E3-0042E3C21340,/+/hc/d3:88:f6:d6:c2:40/server/+,1
minihub-d3:88:f6:d6:c2:40,minihub-d3:88:f6:d6:c2:40,AA6D998E-B538-4976-B7E3-0042E3C21340,/+/server/hc/d3:88:f6:d6:c2:40/+,2
minihub-d3:88:f6:d6:c2:40,minihub-d3:88:f6:d6:c2:40,AA6D998E-B538-4976-B7E3-0042E3C21340,/+/hc/d3:88:f6:d6:c2:40/mobile/+/+,1
minihub-d3:88:f6:d6:c2:40,minihub-d3:88:f6:d6:c2:40,AA6D998E-B538-4976-B7E3-0042E3C21340,/+/mobile/+/hc/d3:88:f6:d6:c2:40/+,2
minihub-97:b4:b9:a2:98:31,minihub-97:b4:b9:a2:98:31,61088376-7EF3-471C-AD44-0045BD8C871D,/+/hc/97:b4:b9:a2:98:31/server/+,1
